;retErr;F;cx;cy;;;retro Error;F;cx;cy
A07;0.471451197;1272.28;490.06;390.11;;A07;0.47;1272;490;390
A10;0.363388082;1291.4;471.76;396.16;;A10;0.36;1291;472;396
B07;0.512029945;1264.57;496.64;377.27;;B07;0.51;1265;497;377
B10;0.454677175;1279.88;498.1;393.83;;B10;0.45;1280;498;394
B15;0.225935863;1250.59;519.64;373.09;;B15;0.23;1251;520;373
C07;0.541751601;1264.99;500.34;395.2;;C07;0.54;1265;500;395
C10;0.359776597;1247.17;503.06;403.55;;C10;0.36;1247;503;404
C15;0.194896031;1271.37;493.8;395.85;;C15;0.19;1271;494;396
;;;;;;;;;;
;;;;;;;;14.37010786;;
;;;;;;;;1267.75;1.133512748;
