// Start Time: Unknown: 
// Update Rate: 60.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
// Option Flags: AHS Disabled ICC Disabled 
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
13512								2021	08	20	14	51	26.03	9.737919	-0.569083	0.843340	0.046531	0.988533	0.143659	-0.090339	-0.139061	0.986155	0.994823	-0.058864	0.082833	
13513								2021	08	20	14	51	26.047	9.789530	-0.635521	0.797466	0.046317	0.988489	0.144027	-0.090659	-0.139428	0.986073	0.994804	-0.058730	0.083157	
13514								2021	08	20	14	51	26.063	9.763784	-0.597111	0.831812	0.046096	0.988465	0.144265	-0.090957	-0.139666	0.986012	0.994787	-0.058573	0.083470	
13515								2021	08	20	14	51	26.08	9.763230	-0.601206	0.853897	0.045829	0.988458	0.144397	-0.090985	-0.139818	0.985988	0.994797	-0.058325	0.083527	
13516								2021	08	20	14	51	26.097	9.719346	-0.599672	0.907620	0.045655	0.988410	0.144777	-0.090951	-0.140214	0.985935	0.994808	-0.058181	0.083495	
13517								2021	08	20	14	51	26.113	9.691222	-0.587914	0.953867	0.045654	0.988357	0.145141	-0.091027	-0.140573	0.985877	0.994801	-0.058221	0.083549	
13518								2021	08	20	14	51	26.13	9.660419	-0.600392	0.928896	0.045702	0.988291	0.145577	-0.090999	-0.141005	0.985818	0.994802	-0.058302	0.083489	
13519								2021	08	20	14	51	26.147	9.702703	-0.619310	0.936807	0.045809	0.988204	0.146130	-0.091192	-0.141535	0.985724	0.994779	-0.058481	0.083632	
13520								2021	08	20	14	51	26.163	9.744065	-0.648468	1.019523	0.045935	0.988055	0.147097	-0.091637	-0.142464	0.985549	0.994732	-0.058751	0.083998	
13521								2021	08	20	14	51	26.18	9.787708	-0.646546	0.952159	0.046011	0.987983	0.147554	-0.092361	-0.142870	0.985423	0.994662	-0.058969	0.084677	
13522								2021	08	20	14	51	26.197	9.803246	-0.632882	0.931065	0.046161	0.987846	0.148425	-0.092945	-0.143692	0.985248	0.994601	-0.059275	0.085182	
13523								2021	08	20	14	51	26.213	9.773415	-0.633317	0.936009	0.046321	0.987712	0.149262	-0.093410	-0.144485	0.985088	0.994550	-0.059573	0.085570	
13524								2021	08	20	14	51	26.23	9.734522	-0.582274	1.027903	0.046530	0.987590	0.150004	-0.093541	-0.145199	0.984971	0.994528	-0.059862	0.085624	
13525								2021	08	20	14	51	26.247	9.769255	-0.531675	1.132172	0.046719	0.987462	0.150783	-0.093971	-0.145933	0.984821	0.994478	-0.060179	0.085975	
13526								2021	08	20	14	51	26.263	9.578452	-0.514603	0.752093	0.046807	0.987416	0.151057	-0.094952	-0.146140	0.984697	0.994381	-0.060434	0.086917	
