// Start Time: Unknown: 
// Update Rate: 60.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
3598														-0.139587	0.079682	9.754821	-0.983435	0.180706	-0.014159	-0.180773	-0.983518	0.003585	-0.013278	0.006085	0.999893	
3599														-0.123567	0.036522	9.755712	-0.983441	0.180676	-0.014160	-0.180744	-0.983524	0.003608	-0.013275	0.006107	0.999893	
3600														-0.109349	0.051613	9.741011	-0.983435	0.180707	-0.014152	-0.180774	-0.983518	0.003585	-0.013271	0.006084	0.999893	
3601														-0.124668	0.051529	9.770115	-0.983432	0.180723	-0.014170	-0.180790	-0.983515	0.003542	-0.013297	0.006045	0.999893	
3602														-0.110937	0.066625	9.770057	-0.983434	0.180709	-0.014194	-0.180775	-0.983518	0.003528	-0.013323	0.006036	0.999893	
3603														-0.140094	0.051278	9.784567	-0.983434	0.180711	-0.014153	-0.180776	-0.983518	0.003497	-0.013288	0.005997	0.999894	
3604														-0.125415	0.065762	9.740578	-0.983434	0.180711	-0.014166	-0.180777	-0.983518	0.003501	-0.013299	0.006004	0.999894	
3605														-0.126687	0.081385	9.784272	-0.983437	0.180697	-0.014163	-0.180763	-0.983520	0.003509	-0.013296	0.006011	0.999894	
3606														-0.125984	0.052399	9.784742	-0.983434	0.180713	-0.014176	-0.180779	-0.983517	0.003513	-0.013307	0.006018	0.999893	
3607														-0.126019	0.052534	9.770092	-0.983434	0.180713	-0.014176	-0.180780	-0.983517	0.003536	-0.013304	0.006040	0.999893	
3608														-0.141395	0.067079	9.784310	-0.983442	0.180670	-0.014150	-0.180736	-0.983525	0.003502	-0.013285	0.006001	0.999894	
3609														-0.126288	0.052982	9.784735	-0.983437	0.180701	-0.014134	-0.180766	-0.983520	0.003512	-0.013266	0.006009	0.999894	
3610														-0.126834	0.067841	9.784494	-0.983439	0.180686	-0.014129	-0.180752	-0.983522	0.003505	-0.013263	0.006000	0.999894	
3611														-0.156614	0.081444	9.769232	-0.983439	0.180687	-0.014138	-0.180753	-0.983522	0.003494	-0.013274	0.005992	0.999894	
3612														-0.127167	0.067966	9.769839	-0.983439	0.180688	-0.014151	-0.180753	-0.983522	0.003498	-0.013285	0.005998	0.999894	
3613														-0.127663	0.068416	9.784479	-0.983438	0.180688	-0.014160	-0.180754	-0.983522	0.003488	-0.013297	0.005989	0.999894	
3614														-0.127673	0.064783	9.777213	-0.983437	0.180697	-0.014172	-0.180762	-0.983521	0.003485	-0.013308	0.005989	0.999894	
3615														-0.127683	0.061150	9.769946	-0.983435	0.180705	-0.014183	-0.180771	-0.983519	0.003482	-0.013320	0.005988	0.999893	
3616														-0.127427	0.039627	9.770299	-0.983438	0.180690	-0.014199	-0.180756	-0.983522	0.003501	-0.013332	0.006009	0.999893	
3617														-0.128745	0.068896	9.769812	-0.983434	0.180706	-0.014211	-0.180772	-0.983519	0.003427	-0.013358	0.005940	0.999893	
3618														-0.143480	0.053932	9.784504	-0.983434	0.180707	-0.014224	-0.180772	-0.983519	0.003432	-0.013369	0.005946	0.999893	
3619														-0.114155	0.054870	9.770236	-0.983434	0.180708	-0.014204	-0.180773	-0.983519	0.003427	-0.013351	0.005938	0.999893	
3620														-0.143905	0.054529	9.799144	-0.983437	0.180694	-0.014199	-0.180759	-0.983521	0.003420	-0.013347	0.005930	0.999893	
3621														-0.129545	0.069557	9.784446	-0.983437	0.180695	-0.014163	-0.180760	-0.983521	0.003419	-0.013312	0.005922	0.999894	
3622														-0.129547	0.069703	9.784445	-0.983440	0.180681	-0.014158	-0.180746	-0.983524	0.003411	-0.013308	0.005914	0.999894	
3623														-0.128946	0.054898	9.770041	-0.983440	0.180682	-0.014135	-0.180746	-0.983524	0.003392	-0.013290	0.005891	0.999894	
3624														-0.114383	0.055524	9.770230	-0.983445	0.180653	-0.014133	-0.180717	-0.983529	0.003400	-0.013286	0.005898	0.999894	
3625														-0.129655	0.070048	9.769792	-0.983442	0.180669	-0.014134	-0.180733	-0.983526	0.003422	-0.013283	0.005920	0.999894	
3626														-0.144522	0.069783	9.769596	-0.983437	0.180700	-0.014141	-0.180764	-0.983521	0.003396	-0.013294	0.005896	0.999894	
3627														-0.129555	0.055847	9.770027	-0.983437	0.180700	-0.014127	-0.180765	-0.983520	0.003422	-0.013276	0.005919	0.999894	
3628														-0.115675	0.071575	9.784616	-0.983442	0.180671	-0.014125	-0.180736	-0.983526	0.003430	-0.013272	0.005926	0.999894	
3629														-0.130269	0.071144	9.769776	-0.983445	0.180657	-0.014122	-0.180722	-0.983528	0.003437	-0.013268	0.005932	0.999894	
3630														-0.115224	0.057211	9.770210	-0.983445	0.180658	-0.014102	-0.180723	-0.983528	0.003433	-0.013249	0.005925	0.999895	
3631														-0.130424	0.071582	9.769770	-0.983448	0.180644	-0.014099	-0.180709	-0.983531	0.003441	-0.013245	0.005932	0.999895	
3632														-0.130093	0.057237	9.770012	-0.983442	0.180675	-0.014097	-0.180739	-0.983525	0.003448	-0.013242	0.005939	0.999895	
3633														-0.145294	0.071533	9.769572	-0.983442	0.180676	-0.014074	-0.180740	-0.983525	0.003430	-0.013223	0.005916	0.999895	
3634														-0.130803	0.072017	9.769762	-0.983436	0.180707	-0.014081	-0.180771	-0.983519	0.003404	-0.013233	0.005893	0.999895	
3635														-0.116537	0.072497	9.769950	-0.983444	0.180663	-0.014102	-0.180726	-0.983528	0.003376	-0.013260	0.005869	0.999895	
3636														-0.131467	0.057988	9.799288	-0.983441	0.180678	-0.014115	-0.180742	-0.983525	0.003381	-0.013272	0.005876	0.999895	
3637														-0.131142	0.057802	9.769995	-0.983444	0.180664	-0.014083	-0.180728	-0.983527	0.003394	-0.013238	0.005883	0.999895	
3638														-0.131220	0.058095	9.769992	-0.983444	0.180665	-0.014096	-0.180729	-0.983527	0.003399	-0.013250	0.005890	0.999895	
3639														-0.131234	0.043914	9.784879	-0.983443	0.180666	-0.014105	-0.180730	-0.983527	0.003388	-0.013261	0.005881	0.999895	
3640														-0.117728	0.073977	9.784574	-0.983441	0.180682	-0.014091	-0.180746	-0.983524	0.003413	-0.013242	0.005904	0.999895	
3641														-0.132103	0.058989	9.784624	-0.983438	0.180698	-0.014110	-0.180761	-0.983521	0.003370	-0.013268	0.005865	0.999895	
