// Start Time: Unknown: 
// Update Rate: 60.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
// Option Flags: AHS Disabled ICC Disabled 
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
13512								2021	08	20	14	51	26.056	9.330414	0.070379	-3.117388	-0.107572	0.950472	-0.291602	0.314334	0.310774	0.897003	0.943198	0.004832	-0.332196	
13513								2021	08	20	14	51	26.073	9.317797	0.082680	-3.158679	-0.107464	0.950572	-0.291314	0.314190	0.310465	0.897160	0.943258	0.004884	-0.332024	
13514								2021	08	20	14	51	26.089	9.317324	0.052803	-3.214567	-0.107304	0.950597	-0.291293	0.313966	0.310391	0.897264	0.943351	0.004824	-0.331761	
13515								2021	08	20	14	51	26.106	9.295072	0.068428	-3.183050	-0.107266	0.950645	-0.291148	0.313715	0.310240	0.897404	0.943439	0.004923	-0.331510	
13516								2021	08	20	14	51	26.123	9.272821	0.084053	-3.151533	-0.107228	0.950694	-0.291004	0.313464	0.310090	0.897544	0.943527	0.005023	-0.331259	
13517								2021	08	20	14	51	26.139	9.370758	0.037956	-2.997095	-0.107163	0.950751	-0.290840	0.313064	0.309912	0.897745	0.943667	0.005154	-0.330857	
13518								2021	08	20	14	51	26.156	9.369309	0.125068	-2.934820	-0.107010	0.950855	-0.290557	0.312692	0.309592	0.897985	0.943807	0.005238	-0.330454	
13519								2021	08	20	14	51	26.173	9.392012	0.127732	-2.902095	-0.107033	0.950884	-0.290454	0.312281	0.309500	0.898160	0.943941	0.005430	-0.330069	
13520								2021	08	20	14	51	26.189	9.492272	0.122983	-2.814333	-0.106817	0.951014	-0.290108	0.311837	0.309099	0.898452	0.944112	0.005503	-0.329578	
13521								2021	08	20	14	51	26.206	9.460067	0.256242	-2.969301	-0.106677	0.950937	-0.290412	0.311503	0.309338	0.898485	0.944238	0.005383	-0.329219	
13522								2021	08	20	14	51	26.223	9.220047	0.083973	-3.124662	-0.106253	0.951178	-0.289777	0.311597	0.308599	0.898707	0.944255	0.005197	-0.329173	
13523								2021	08	20	14	51	26.239	9.105922	-0.037360	-3.418503	-0.105974	0.951032	-0.290358	0.312210	0.309059	0.898336	0.944084	0.004548	-0.329674	
13524								2021	08	20	14	51	26.256	9.142059	0.071640	-3.420306	-0.105906	0.950525	-0.292038	0.312998	0.310627	0.897521	0.943831	0.003645	-0.330409	
13525								2021	08	20	14	51	26.273	9.111473	0.216188	-3.370795	-0.105892	0.949832	-0.294289	0.314200	0.312751	0.896362	0.943433	0.002452	-0.331555	
13526								2021	08	20	14	51	26.289	9.078789	0.386881	-3.137775	-0.105843	0.949456	-0.295516	0.315621	0.313895	0.895463	0.942964	0.001508	-0.332892	
13527								2021	08	20	14	51	26.306	9.223760	0.176683	-3.088791	-0.105775	0.949271	-0.296136	0.316938	0.314458	0.894800	0.942530	0.000791	-0.334122	
13528								2021	08	20	14	51	26.323	9.436680	0.200011	-3.005830	-0.105431	0.949159	-0.296616	0.317447	0.314796	0.894500	0.942397	0.000148	-0.334497	
