// Start Time: Unknown: 
// Update Rate: 60.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
// Option Flags: AHS Disabled ICC Disabled 
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
13512								2021	08	20	14	51	26.043	9.662583	0.124423	1.614325	-0.047733	0.982959	0.177520	-0.158277	-0.182920	0.970303	0.986240	0.018219	0.164312	
13513								2021	08	20	14	51	26.06	9.666420	0.143399	1.607976	-0.047689	0.982971	0.177462	-0.158424	-0.182859	0.970291	0.986219	0.018158	0.164447	
13514								2021	08	20	14	51	26.076	9.640006	0.088371	1.629121	-0.047511	0.983061	0.177016	-0.158671	-0.182393	0.970338	0.986188	0.018015	0.164649	
13515								2021	08	20	14	51	26.093	9.630335	0.151173	1.708235	-0.047607	0.983135	0.176579	-0.159011	-0.181984	0.970359	0.986128	0.018118	0.164993	
13516								2021	08	20	14	51	26.11	9.619176	0.034524	1.782009	-0.047664	0.983001	0.177304	-0.158538	-0.182701	0.970302	0.986202	0.018139	0.164551	
13517								2021	08	20	14	51	26.126	9.634099	0.136535	1.629199	-0.047599	0.982870	0.178045	-0.157658	-0.183405	0.970313	0.986346	0.018116	0.163687	
13518								2021	08	20	14	51	26.143	9.659825	0.165402	1.556880	-0.047675	0.982761	0.178630	-0.156955	-0.183982	0.970317	0.986454	0.018223	0.163020	
13519								2021	08	20	14	51	26.16	9.672840	0.165040	1.585691	-0.047749	0.982770	0.178556	-0.156638	-0.183916	0.970381	0.986501	0.018366	0.162721	
13520								2021	08	20	14	51	26.176	9.673015	0.180339	1.622050	-0.047859	0.982706	0.178881	-0.156381	-0.184250	0.970359	0.986537	0.018467	0.162494	
13521								2021	08	20	14	51	26.193	9.613691	0.009125	1.823184	-0.047828	0.982833	0.178192	-0.156019	-0.183558	0.970549	0.986595	0.018618	0.162120	
13522								2021	08	20	14	51	26.21	9.639594	0.171028	1.651173	-0.047949	0.982786	0.178420	-0.155272	-0.183787	0.970625	0.986707	0.018837	0.161411	
13523								2021	08	20	14	51	26.226	9.621088	-0.019153	1.874693	-0.047881	0.982670	0.179075	-0.153879	-0.184397	0.970731	0.986929	0.018923	0.160042	
13524								2021	08	20	14	51	26.243	9.676680	0.314318	1.499901	-0.047897	0.982590	0.179509	-0.152171	-0.184796	0.970925	0.987193	0.019189	0.158372	
13525								2021	08	20	14	51	26.26	9.671095	0.270619	1.480359	-0.047658	0.982618	0.179418	-0.151099	-0.184647	0.971120	0.987369	0.019172	0.157273	
13526								2021	08	20	14	51	26.276	9.641601	0.241088	1.406166	-0.047375	0.982684	0.179130	-0.150759	-0.184312	0.971237	0.987435	0.019007	0.156881	
13527								2021	08	20	14	51	26.293	9.554593	-0.038800	1.767043	-0.047101	0.982746	0.178863	-0.150745	-0.184004	0.971297	0.987450	0.018787	0.156810	
13528								2021	08	20	14	51	26.31	9.645204	0.095847	1.661496	-0.046960	0.982864	0.178252	-0.150403	-0.183372	0.971470	0.987509	0.018810	0.156437	
