// Start Time: Unknown: 
// Update Rate: 60.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
3598														-0.098485	0.080514	9.759131	-0.995883	-0.090171	-0.009244	0.090088	-0.995893	0.009027	-0.010020	0.008157	0.999917	
3599														-0.081558	0.053704	9.774807	-0.995881	-0.090194	-0.009258	0.090111	-0.995891	0.009051	-0.010036	0.008179	0.999916	
3600														-0.098528	0.080546	9.729844	-0.995881	-0.090196	-0.009258	0.090113	-0.995891	0.009013	-0.010033	0.008141	0.999917	
3601														-0.082759	0.069320	9.774270	-0.995884	-0.090170	-0.009240	0.090087	-0.995893	0.009065	-0.010019	0.008196	0.999916	
3602														-0.098613	0.082851	9.759111	-0.995885	-0.090146	-0.009270	0.090063	-0.995895	0.009043	-0.010047	0.008171	0.999916	
3603														-0.097419	0.068472	9.759641	-0.995882	-0.090191	-0.009240	0.090108	-0.995891	0.009004	-0.010014	0.008135	0.999917	
3604														-0.098511	0.082893	9.744468	-0.995882	-0.090190	-0.009254	0.090107	-0.995891	0.009012	-0.010029	0.008141	0.999917	
3605														-0.098604	0.085075	9.788379	-0.995881	-0.090199	-0.009237	0.090116	-0.995890	0.009019	-0.010013	0.008150	0.999917	
3606														-0.082664	0.070596	9.744976	-0.995881	-0.090198	-0.009237	0.090115	-0.995891	0.009012	-0.010012	0.008143	0.999917	
3607														-0.112033	0.070461	9.788920	-0.995881	-0.090199	-0.009249	0.090116	-0.995890	0.009051	-0.010028	0.008180	0.999916	
3608														-0.081591	0.057784	9.760141	-0.995878	-0.090236	-0.009234	0.090154	-0.995887	0.009028	-0.010011	0.008158	0.999917	
3609														-0.098496	0.085665	9.744444	-0.995880	-0.090211	-0.009235	0.090128	-0.995889	0.009035	-0.010012	0.008166	0.999917	
3610														-0.082927	0.072780	9.744958	-0.995879	-0.090218	-0.009280	0.090134	-0.995889	0.009030	-0.010057	0.008156	0.999916	
3611														-0.113440	0.086004	9.759087	-0.995879	-0.090219	-0.009249	0.090135	-0.995889	0.009036	-0.010026	0.008165	0.999916	
3612														-0.084135	0.089546	9.773688	-0.995880	-0.090213	-0.009248	0.090130	-0.995889	0.009043	-0.010025	0.008172	0.999916	
3613														-0.098847	0.089387	9.788338	-0.995884	-0.090166	-0.009264	0.090083	-0.995893	0.009035	-0.010040	0.008164	0.999916	
3614														-0.097768	0.074691	9.774235	-0.995885	-0.090152	-0.009278	0.090069	-0.995895	0.009028	-0.010054	0.008156	0.999916	
3615														-0.067287	0.061416	9.730823	-0.995887	-0.090127	-0.009263	0.090044	-0.995897	0.009035	-0.010039	0.008164	0.999916	
3616														-0.098982	0.089984	9.759044	-0.995883	-0.090167	-0.009276	0.090083	-0.995893	0.009074	-0.010056	0.008201	0.999916	
3617														-0.112557	0.075376	9.774235	-0.995887	-0.090126	-0.009291	0.090042	-0.995897	0.009066	-0.010070	0.008193	0.999916	
3618														-0.082301	0.063652	9.774741	-0.995888	-0.090116	-0.009306	0.090032	-0.995898	0.009059	-0.010084	0.008184	0.999916	
3619														-0.083574	0.078205	9.759553	-0.995889	-0.090100	-0.009306	0.090016	-0.995899	0.009066	-0.010085	0.008191	0.999916	
3620														-0.112736	0.076900	9.774221	-0.995889	-0.090100	-0.009290	0.090016	-0.995899	0.009073	-0.010069	0.008200	0.999916	
3621														-0.099299	0.093296	9.773653	-0.995890	-0.090096	-0.009289	0.090013	-0.995899	0.009081	-0.010069	0.008208	0.999916	
3622														-0.096775	0.062919	9.730829	-0.995890	-0.090095	-0.009290	0.090011	-0.995900	0.009059	-0.010068	0.008186	0.999916	
3623														-0.099259	0.093075	9.744368	-0.995890	-0.090096	-0.009289	0.090012	-0.995899	0.009066	-0.010068	0.008193	0.999916	
3624														-0.099329	0.094682	9.773639	-0.995890	-0.090089	-0.009289	0.090005	-0.995900	0.009060	-0.010067	0.008186	0.999916	
3625														-0.082259	0.066700	9.760078	-0.995890	-0.090098	-0.009288	0.090014	-0.995899	0.009067	-0.010067	0.008194	0.999916	
3626														-0.098096	0.080643	9.759541	-0.995891	-0.090084	-0.009287	0.090000	-0.995900	0.009075	-0.010067	0.008201	0.999916	
3627														-0.082250	0.067249	9.745433	-0.995890	-0.090095	-0.009288	0.090011	-0.995899	0.009068	-0.010067	0.008195	0.999916	
3628														-0.098248	0.082691	9.788808	-0.995890	-0.090087	-0.009303	0.090003	-0.995900	0.009061	-0.010081	0.008187	0.999916	
3629														-0.098197	0.082024	9.759529	-0.995893	-0.090062	-0.009287	0.089978	-0.995903	0.009052	-0.010064	0.008179	0.999916	
3630														-0.096867	0.067399	9.745440	-0.995893	-0.090059	-0.009286	0.089976	-0.995903	0.009060	-0.010064	0.008187	0.999916	
3631														-0.096934	0.068944	9.774713	-0.995897	-0.090013	-0.009287	0.089929	-0.995907	0.009037	-0.010062	0.008165	0.999916	
3632														-0.112850	0.082725	9.774172	-0.995894	-0.090043	-0.009301	0.089959	-0.995904	0.009046	-0.010077	0.008172	0.999916	
3633														-0.098381	0.083912	9.759511	-0.995890	-0.090088	-0.009315	0.090005	-0.995900	0.009039	-0.010091	0.008164	0.999916	
3634														-0.105447	0.079967	9.759655	-0.995892	-0.090071	-0.009322	0.089987	-0.995902	0.009032	-0.010097	0.008156	0.999916	
3635														-0.112514	0.076023	9.759799	-0.995893	-0.090053	-0.009330	0.089970	-0.995904	0.009025	-0.010104	0.008149	0.999916	
3636														-0.097492	0.071330	9.774691	-0.995894	-0.090048	-0.009344	0.089964	-0.995904	0.009048	-0.010121	0.008170	0.999915	
3637														-0.098828	0.086571	9.774126	-0.995892	-0.090070	-0.009343	0.089986	-0.995902	0.009056	-0.010120	0.008178	0.999915	
3638														-0.096279	0.056868	9.745965	-0.995892	-0.090062	-0.009342	0.089978	-0.995902	0.009063	-0.010120	0.008185	0.999915	
3639														-0.082960	0.074897	9.789298	-0.995893	-0.090052	-0.009326	0.089968	-0.995903	0.009054	-0.010103	0.008178	0.999916	
3640														-0.097294	0.071921	9.730762	-0.995895	-0.090032	-0.009310	0.089948	-0.995905	0.009061	-0.010087	0.008186	0.999916	
3641														-0.113153	0.085758	9.730214	-0.995895	-0.090033	-0.009324	0.089950	-0.995905	0.009054	-0.010101	0.008178	0.999916	
3642														-0.098626	0.088573	9.759467	-0.995895	-0.090031	-0.009309	0.089947	-0.995905	0.009045	-0.010085	0.008171	0.999916	
3643														-0.097341	0.073788	9.745389	-0.995895	-0.090030	-0.009325	0.089947	-0.995906	0.009023	-0.010099	0.008147	0.999916	
3644														-0.097479	0.075272	9.774661	-0.995896	-0.090018	-0.009325	0.089935	-0.995907	0.009015	-0.010098	0.008139	0.999916	
3645														-0.097422	0.074580	9.745383	-0.995895	-0.090036	-0.009324	0.089953	-0.995905	0.009007	-0.010097	0.008132	0.999916	
3646														-0.097458	0.075580	9.760017	-0.995896	-0.090026	-0.009324	0.089942	-0.995906	0.009000	-0.010096	0.008124	0.999916	
3647														-0.111899	0.075965	9.789308	-0.995896	-0.090031	-0.009277	0.089948	-0.995906	0.009006	-0.010050	0.008134	0.999916	
3648														-0.083705	0.092471	9.759427	-0.995895	-0.090044	-0.009277	0.089961	-0.995905	0.008998	-0.010049	0.008127	0.999916	
3649														-0.095644	0.062972	9.775216	-0.995894	-0.090058	-0.009246	0.089975	-0.995904	0.008974	-0.010016	0.008105	0.999917	
3650														-0.078402	0.034877	9.761694	-0.995892	-0.090076	-0.009262	0.089993	-0.995902	0.008968	-0.010032	0.008097	0.999917	
