// Start Time: Unknown: 
// Update Rate: 60.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
// Option Flags: AHS Disabled ICC Disabled 
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
13512								2021	08	20	14	51	26.056	9.053376	-1.373087	-3.472310	0.207941	0.966673	0.149344	0.324149	-0.212156	0.921910	0.922869	-0.143293	-0.357462	
13513								2021	08	20	14	51	26.073	9.093601	-1.337900	-3.527053	0.208017	0.966635	0.149483	0.324232	-0.212329	0.921841	0.922823	-0.143291	-0.357582	
13514								2021	08	20	14	51	26.089	9.080221	-1.442359	-3.511131	0.208142	0.966549	0.149869	0.324234	-0.212744	0.921744	0.922794	-0.143262	-0.357669	
13515								2021	08	20	14	51	26.106	9.067147	-1.541233	-3.527531	0.208097	0.966505	0.150213	0.324297	-0.213065	0.921648	0.922782	-0.143079	-0.357772	
13516								2021	08	20	14	51	26.123	9.038330	-1.475368	-3.412307	0.208067	0.966495	0.150317	0.324376	-0.213166	0.921597	0.922761	-0.142995	-0.357860	
13517								2021	08	20	14	51	26.139	9.044932	-1.436561	-3.347463	0.208174	0.966449	0.150468	0.324439	-0.213359	0.921530	0.922715	-0.143021	-0.357970	
13518								2021	08	20	14	51	26.156	9.123589	-1.455128	-3.397531	0.208245	0.966370	0.150873	0.324495	-0.213781	0.921412	0.922679	-0.142922	-0.358101	
13519								2021	08	20	14	51	26.173	9.009018	-1.471817	-3.448373	0.208233	0.966324	0.151189	0.324590	-0.214091	0.921307	0.922649	-0.142772	-0.358239	
13520								2021	08	20	14	51	26.189	9.025896	-1.289234	-3.520906	0.208402	0.966230	0.151550	0.324677	-0.214512	0.921178	0.922580	-0.142771	-0.358418	
13521								2021	08	20	14	51	26.206	9.048542	-1.267061	-3.419641	0.208637	0.966072	0.152232	0.324717	-0.215256	0.920991	0.922513	-0.142720	-0.358611	
13522								2021	08	20	14	51	26.223	9.128378	-1.418072	-3.306335	0.209034	0.965793	0.153457	0.324807	-0.216584	0.920648	0.922391	-0.142603	-0.358970	
13523								2021	08	20	14	51	26.239	9.101771	-1.538435	-3.289291	0.209287	0.965642	0.154059	0.325057	-0.217291	0.920393	0.922246	-0.142548	-0.359365	
13524								2021	08	20	14	51	26.256	9.080127	-1.479291	-3.436236	0.209484	0.965656	0.153704	0.325440	-0.217085	0.920306	0.922066	-0.142768	-0.359738	
13525								2021	08	20	14	51	26.273	9.250165	-1.227988	-3.596752	0.209808	0.965749	0.152677	0.325584	-0.216249	0.920452	0.921941	-0.143409	-0.359803	
13526								2021	08	20	14	51	26.289	9.204007	-1.215426	-3.668016	0.210226	0.965657	0.152684	0.325596	-0.216413	0.920409	0.921842	-0.143781	-0.359909	
13527								2021	08	20	14	51	26.306	9.082986	-1.590381	-3.608090	0.210642	0.965561	0.152713	0.325657	-0.216605	0.920342	0.921725	-0.144130	-0.360068	
13528								2021	08	20	14	51	26.323	9.127575	-1.449004	-3.419811	0.210966	0.965666	0.151601	0.325697	-0.215672	0.920547	0.921637	-0.144828	-0.360014	
13529								2021	08	20	14	51	26.339	9.027545	-1.342273	-3.170158	0.211213	0.965802	0.150384	0.325798	-0.214620	0.920757	0.921545	-0.145481	-0.359987	
