// Start Time: Unknown: 
// Update Rate: 60.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
// Option Flags: AHS Disabled ICC Disabled 
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
13512								2021	08	20	14	51	26.056	9.007104	3.237870	-2.208537	0.197948	0.076025	0.977260	0.350440	-0.936583	0.001878	0.915428	0.342099	-0.212037	
13513								2021	08	20	14	51	26.073	9.045097	3.260956	-2.188358	0.197480	0.075735	0.977377	0.350235	-0.936660	0.001815	0.915607	0.341953	-0.211496	
13514								2021	08	20	14	51	26.089	8.962823	3.282611	-2.076009	0.197021	0.075661	0.977475	0.349988	-0.936752	0.001965	0.915801	0.341718	-0.211040	
13515								2021	08	20	14	51	26.106	8.958283	3.318189	-2.072540	0.196798	0.075729	0.977515	0.349857	-0.936801	0.002140	0.915899	0.341570	-0.210855	
13516								2021	08	20	14	51	26.123	8.953743	3.353767	-2.069071	0.196575	0.075797	0.977555	0.349726	-0.936849	0.002315	0.915996	0.341422	-0.210670	
13517								2021	08	20	14	51	26.139	8.902045	3.287964	-1.961113	0.196735	0.075078	0.977578	0.349520	-0.936927	0.001616	0.916041	0.341365	-0.210567	
13518								2021	08	20	14	51	26.156	9.146220	3.165322	-1.929153	0.196487	0.074385	0.977681	0.349276	-0.937019	0.001096	0.916187	0.341265	-0.210092	
13519								2021	08	20	14	51	26.173	9.051712	3.056992	-2.217220	0.195098	0.073807	0.978003	0.348758	-0.937212	0.001156	0.916681	0.340861	-0.208589	
13520								2021	08	20	14	51	26.189	9.121282	3.137462	-2.087726	0.193653	0.074157	0.978263	0.347869	-0.937541	0.002207	0.917325	0.339880	-0.207355	
13521								2021	08	20	14	51	26.206	9.111737	2.967236	-2.004883	0.192331	0.075754	0.978402	0.347145	-0.937801	0.004370	0.917878	0.338806	-0.206666	
13522								2021	08	20	14	51	26.223	9.212514	2.938914	-2.207055	0.191112	0.077299	0.978520	0.346347	-0.938084	0.006461	0.918433	0.337673	-0.206051	
13523								2021	08	20	14	51	26.239	8.813872	3.167760	-2.036799	0.190185	0.079920	0.978490	0.345751	-0.938279	0.009434	0.918850	0.336520	-0.206079	
13524								2021	08	20	14	51	26.256	9.086279	3.394661	-1.861730	0.189475	0.083116	0.978361	0.345426	-0.938359	0.012821	0.919119	0.335522	-0.206506	
13525								2021	08	20	14	51	26.273	8.829942	3.427196	-1.786781	0.188177	0.086476	0.978321	0.345369	-0.938322	0.016510	0.919407	0.334775	-0.206436	
13526								2021	08	20	14	51	26.289	8.922406	3.291979	-1.646496	0.187477	0.088418	0.978281	0.345729	-0.938151	0.018536	0.919415	0.334745	-0.206450	
13527								2021	08	20	14	51	26.306	8.895791	2.988577	-1.816492	0.186927	0.088900	0.978343	0.346186	-0.937972	0.019088	0.919355	0.335121	-0.206108	
13528								2021	08	20	14	51	26.323	9.217696	2.713237	-1.853381	0.186962	0.089909	0.978244	0.346991	-0.937658	0.019862	0.919044	0.335729	-0.206504	
13529								2021	08	20	14	51	26.339	9.345076	2.831653	-1.837303	0.186998	0.090215	0.978209	0.347558	-0.937445	0.020015	0.918823	0.336241	-0.206656	
13530								2021	08	20	14	51	26.356	9.123966	3.097081	-2.197531	0.186445	0.091621	0.978184	0.347949	-0.937268	0.021468	0.918787	0.336356	-0.206629	
13531								2021	08	20	14	51	26.373	8.986956	3.127394	-2.080603	0.186539	0.093887	0.977951	0.348513	-0.937010	0.023480	0.918554	0.336449	-0.207510	
13532								2021	08	20	14	51	26.389	8.922542	3.138999	-2.002906	0.186884	0.096213	0.977659	0.348885	-0.936818	0.025503	0.918343	0.336325	-0.208644	
13533								2021	08	20	14	51	26.406	9.021942	3.130455	-2.040325	0.186575	0.098180	0.977523	0.349188	-0.936651	0.027427	0.918291	0.336222	-0.209039	
13534								2021	08	20	14	51	26.423	9.051660	2.732045	-2.148262	0.186538	0.100924	0.977250	0.349533	-0.936444	0.029991	0.918167	0.335987	-0.209958	
13535								2021	08	20	14	51	26.439	9.222252	2.800876	-2.102076	0.185943	0.105171	0.976916	0.349707	-0.936234	0.034229	0.918221	0.335270	-0.210866	
13536								2021	08	20	14	51	26.456	9.076671	2.986267	-1.995724	0.185316	0.109147	0.976599	0.349839	-0.936029	0.038228	0.918298	0.334568	-0.211645	
13537								2021	08	20	14	51	26.473	8.973902	3.264898	-1.872916	0.184565	0.113282	0.976270	0.349878	-0.935833	0.042445	0.918434	0.333742	-0.212357	
13538								2021	08	20	14	51	26.489	8.906753	3.349714	-1.717781	0.183485	0.117424	0.975984	0.350116	-0.935540	0.046736	0.918560	0.333133	-0.212770	
13539								2021	08	20	14	51	26.506	8.771607	3.162611	-1.866302	0.182914	0.120947	0.975661	0.350711	-0.935139	0.050173	0.918447	0.332998	-0.213468	
13540								2021	08	20	14	51	26.523	9.020353	2.980116	-1.836295	0.183036	0.123619	0.975303	0.351392	-0.934753	0.052533	0.918162	0.333099	-0.214532	
13541								2021	08	20	14	51	26.539	9.082448	3.051839	-2.078462	0.183368	0.125804	0.974961	0.351955	-0.934436	0.054380	0.917880	0.333171	-0.215623	
13542								2021	08	20	14	51	26.556	9.210598	3.147612	-2.032582	0.184077	0.127927	0.974551	0.352545	-0.934116	0.056029	0.917511	0.333260	-0.217050	
13543								2021	08	20	14	51	26.573	9.058897	3.045711	-1.927087	0.184299	0.130901	0.974114	0.353359	-0.933650	0.058609	0.917154	0.333410	-0.218325	
13544								2021	08	20	14	51	26.589	8.807118	3.261143	-1.832956	0.184652	0.133357	0.973714	0.354209	-0.933198	0.060637	0.916755	0.333701	-0.219553	
13545								2021	08	20	14	51	26.606	8.856130	3.166602	-1.848090	0.185651	0.133742	0.973472	0.355347	-0.932782	0.060383	0.916113	0.334710	-0.220696	
