// Start Time: Unknown: 
// Update Rate: 60.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
3598														-0.113687	0.067001	9.755990	-0.936909	0.349417	-0.010472	-0.349467	-0.936943	0.003289	-0.008663	0.006741	0.999940	
3599														-0.068349	0.041966	9.759686	-0.936908	0.349420	-0.010446	-0.349469	-0.936942	0.003260	-0.008648	0.006705	0.999940	
3600														-0.085358	0.069762	9.743087	-0.936912	0.349408	-0.010465	-0.349458	-0.936946	0.003262	-0.008666	0.006713	0.999940	
3601														-0.086863	0.056793	9.772855	-0.936900	0.349441	-0.010462	-0.349490	-0.936934	0.003288	-0.008653	0.006737	0.999940	
3602														-0.105322	0.071590	9.800641	-0.936904	0.349430	-0.010455	-0.349479	-0.936939	0.003268	-0.008654	0.006716	0.999940	
3603														-0.091583	0.073297	9.801500	-0.936909	0.349419	-0.010446	-0.349468	-0.936943	0.003282	-0.008641	0.006726	0.999940	
3604														-0.087436	0.057226	9.743602	-0.936908	0.349422	-0.010425	-0.349471	-0.936942	0.003267	-0.008626	0.006705	0.999940	
3605														-0.092173	0.073628	9.786868	-0.936912	0.349411	-0.010411	-0.349460	-0.936946	0.003267	-0.008613	0.006699	0.999940	
3606														-0.059873	0.060652	9.745331	-0.936916	0.349400	-0.010416	-0.349449	-0.936950	0.003275	-0.008615	0.006708	0.999940	
3607														-0.091435	0.045636	9.787966	-0.936914	0.349403	-0.010427	-0.349453	-0.936948	0.003296	-0.008618	0.006732	0.999940	
3608														-0.077253	0.061180	9.759045	-0.936908	0.349420	-0.010447	-0.349470	-0.936942	0.003297	-0.008636	0.006740	0.999940	
3609														-0.081325	0.077322	9.787692	-0.936922	0.349381	-0.010453	-0.349431	-0.936956	0.003306	-0.008639	0.006750	0.999940	
3610														-0.080456	0.076862	9.758458	-0.936921	0.349384	-0.010466	-0.349434	-0.936955	0.003293	-0.008655	0.006743	0.999940	
3611														-0.082285	0.077784	9.773058	-0.936915	0.349402	-0.010451	-0.349451	-0.936949	0.003292	-0.008642	0.006736	0.999940	
3612														-0.096433	0.062429	9.772731	-0.936913	0.349405	-0.010456	-0.349455	-0.936947	0.003299	-0.008644	0.006745	0.999940	
3613														-0.069132	0.065924	9.789097	-0.936918	0.349394	-0.010450	-0.349443	-0.936952	0.003279	-0.008645	0.006723	0.999940	
3614														-0.076199	0.065158	9.774036	-0.936922	0.349383	-0.010462	-0.349433	-0.936956	0.003283	-0.008655	0.006732	0.999940	
3615														-0.083265	0.064391	9.758975	-0.936925	0.349372	-0.010474	-0.349422	-0.936960	0.003288	-0.008665	0.006741	0.999940	
3616														-0.100441	0.078413	9.757501	-0.936919	0.349389	-0.010454	-0.349439	-0.936954	0.003273	-0.008652	0.006719	0.999940	
3617														-0.086452	0.065971	9.773559	-0.936918	0.349392	-0.010467	-0.349442	-0.936952	0.003260	-0.008668	0.006712	0.999940	
3618														-0.085233	0.051405	9.759508	-0.936922	0.349382	-0.010472	-0.349431	-0.936956	0.003268	-0.008670	0.006721	0.999940	
3619														-0.073701	0.068366	9.774426	-0.936921	0.349385	-0.010464	-0.349435	-0.936955	0.003281	-0.008658	0.006731	0.999940	
3620														-0.089092	0.067508	9.773525	-0.936920	0.349388	-0.010458	-0.349437	-0.936954	0.003260	-0.008659	0.006709	0.999940	
3621														-0.089923	0.068021	9.773513	-0.936918	0.349392	-0.010455	-0.349441	-0.936953	0.003288	-0.008647	0.006734	0.999940	
