// Start Time: Unknown: 
// Update Rate: 60.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
3598														-0.081273	0.082635	9.817813	-0.990830	0.134670	-0.010982	-0.134741	-0.990863	0.006021	-0.010071	0.007446	0.999922	
3599														-0.094581	0.052520	9.788647	-0.990833	0.134647	-0.010992	-0.134718	-0.990866	0.006010	-0.010082	0.007436	0.999922	
3600														-0.095719	0.081557	9.803431	-0.990834	0.134637	-0.010985	-0.134708	-0.990867	0.006002	-0.010076	0.007427	0.999922	
3601														-0.079918	0.067740	9.803109	-0.990832	0.134657	-0.010969	-0.134728	-0.990864	0.006026	-0.010057	0.007449	0.999922	
3602														-0.095057	0.081399	9.803439	-0.990832	0.134651	-0.010971	-0.134722	-0.990865	0.005985	-0.010065	0.007408	0.999922	
3603														-0.109535	0.080423	9.803701	-0.990833	0.134642	-0.010985	-0.134713	-0.990867	0.006005	-0.010076	0.007430	0.999922	
3604														-0.095034	0.081279	9.788797	-0.990837	0.134618	-0.010993	-0.134689	-0.990870	0.005994	-0.010086	0.007420	0.999922	
3605														-0.093812	0.066513	9.803377	-0.990835	0.134631	-0.011005	-0.134702	-0.990868	0.005998	-0.010097	0.007426	0.999921	
3606														-0.094413	0.081129	9.803447	-0.990836	0.134620	-0.011001	-0.134691	-0.990869	0.006005	-0.010092	0.007432	0.999921	
3607														-0.093704	0.080924	9.818099	-0.990834	0.134642	-0.010962	-0.134713	-0.990867	0.005987	-0.010056	0.007409	0.999922	
3608														-0.091958	0.051573	9.803321	-0.990839	0.134602	-0.010974	-0.134673	-0.990872	0.005992	-0.010067	0.007415	0.999922	
3609														-0.092561	0.066188	9.803391	-0.990837	0.134618	-0.010971	-0.134689	-0.990870	0.005998	-0.010064	0.007421	0.999922	
