// Start Time: Unknown: 
// Update Rate: 40.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
// Option Flags: AHS Disabled ICC Disabled 
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
4680								2021	09	15	14	31	37.711	-0.002308	0.214643	9.770638	-0.961106	-0.276136	0.004942	0.276179	-0.960901	0.019860	-0.000736	0.020452	0.999791	
4681								2021	09	15	14	31	37.728	-0.001717	0.203738	9.780090	-0.961102	-0.276151	0.004931	0.276194	-0.960898	0.019824	-0.000737	0.020415	0.999791	
4682								2021	09	15	14	31	37.744	-0.001694	0.183796	9.769700	-0.961097	-0.276167	0.004922	0.276209	-0.960892	0.019851	-0.000752	0.020438	0.999791	
4683								2021	09	15	14	31	37.761	-0.001114	0.202792	9.770359	-0.961088	-0.276197	0.004939	0.276240	-0.960884	0.019855	-0.000738	0.020447	0.999791	
4684								2021	09	15	14	31	37.778	0.008673	0.202636	9.750646	-0.961089	-0.276196	0.004919	0.276239	-0.960884	0.019838	-0.000752	0.020425	0.999791	
4685								2021	09	15	14	31	37.794	-0.009637	0.200631	9.790120	-0.961084	-0.276212	0.004918	0.276255	-0.960880	0.019831	-0.000752	0.020418	0.999791	
4686								2021	09	15	14	31	37.811	0.000575	0.199822	9.789922	-0.961223	-0.275727	0.004986	0.275771	-0.961018	0.019866	-0.000685	0.020471	0.999790	
4687								2021	09	15	14	31	37.828	0.019705	0.200266	9.750478	-0.961226	-0.275718	0.004986	0.275763	-0.961021	0.019860	-0.000684	0.020465	0.999790	
4688								2021	09	15	14	31	37.844	-0.008630	0.199274	9.770647	-0.961233	-0.275691	0.005012	0.275736	-0.961028	0.019894	-0.000668	0.020505	0.999790	
4689								2021	09	15	14	31	37.861	0.001452	0.199096	9.760684	-0.961234	-0.275689	0.005015	0.275734	-0.961028	0.019903	-0.000667	0.020514	0.999789	
4690								2021	09	15	14	31	37.878	0.002123	0.188485	9.770123	-0.961237	-0.275678	0.005037	0.275723	-0.961031	0.019921	-0.000651	0.020538	0.999789	
4691								2021	09	15	14	31	37.894	-0.007124	0.207322	9.771013	-0.961231	-0.275697	0.004998	0.275742	-0.961026	0.019893	-0.000682	0.020500	0.999790	
4692								2021	09	15	14	31	37.911	0.003303	0.206033	9.780573	-0.961233	-0.275692	0.005025	0.275737	-0.961028	0.019879	-0.000651	0.020494	0.999790	
4693								2021	09	15	14	31	37.928	0.003556	0.186431	9.760411	-0.961227	-0.275711	0.005067	0.275757	-0.961022	0.019859	-0.000606	0.020487	0.999790	
4694								2021	09	15	14	31	37.944	-0.005392	0.205417	9.761304	-0.961235	-0.275684	0.005075	0.275730	-0.961029	0.019883	-0.000604	0.020512	0.999789	
4695								2021	09	15	14	31	37.961	0.004747	0.204759	9.761098	-0.961230	-0.275701	0.005059	0.275747	-0.961025	0.019880	-0.000619	0.020505	0.999790	
