// Start Time: Unknown: 
// Update Rate: 40.0Hz 
// Filter Profile: human (46.1) 
// Firmware Version: 4.6.0
// Option Flags: AHS Disabled ICC Disabled 
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3] 
4680								2021	09	15	14	31	37.711	0.058598	0.217334	9.787367	-0.869250	-0.494000	0.019188	0.494292	-0.869154	0.015686	0.008928	0.023120	0.999693	
4681								2021	09	15	14	31	37.728	0.058598	0.217334	9.787367	-0.869250	-0.494000	0.019188	0.494292	-0.869154	0.015686	0.008928	0.023120	0.999693	
4682								2021	09	15	14	31	37.744	0.087527	0.208893	9.807542	-0.869246	-0.494008	0.019181	0.494300	-0.869150	0.015679	0.008926	0.023110	0.999693	
4683								2021	09	15	14	31	37.761	0.077394	0.218331	9.787760	-0.869247	-0.494004	0.019224	0.494296	-0.869152	0.015697	0.008954	0.023147	0.999692	
4684								2021	09	15	14	31	37.778	0.077528	0.208735	9.787817	-0.869249	-0.494001	0.019211	0.494293	-0.869154	0.015676	0.008953	0.023122	0.999693	
4685								2021	09	15	14	31	37.794	0.076682	0.218425	9.787763	-0.869237	-0.494022	0.019218	0.494315	-0.869142	0.015661	0.008966	0.023113	0.999693	
4686								2021	09	15	14	31	37.811	0.076070	0.208974	9.817112	-0.869248	-0.494003	0.019215	0.494296	-0.869152	0.015688	0.008951	0.023134	0.999692	
4687								2021	09	15	14	31	37.828	0.086533	0.199780	9.778312	-0.869257	-0.493986	0.019224	0.494279	-0.869162	0.015707	0.008949	0.023155	0.999692	
4688								2021	09	15	14	31	37.844	0.055488	0.218318	9.797127	-0.869251	-0.493996	0.019232	0.494289	-0.869155	0.015727	0.008946	0.023177	0.999691	
4689								2021	09	15	14	31	37.861	0.065661	0.199443	9.787679	-0.869247	-0.494006	0.019193	0.494299	-0.869149	0.015755	0.008899	0.023182	0.999692	
4690								2021	09	15	14	31	37.878	0.083888	0.210175	9.797784	-0.869234	-0.494027	0.019193	0.494320	-0.869138	0.015726	0.008912	0.023157	0.999692	
4691								2021	09	15	14	31	37.894	0.064927	0.199483	9.777920	-0.869243	-0.494011	0.019215	0.494304	-0.869146	0.015739	0.008925	0.023179	0.999691	
4692								2021	09	15	14	31	37.911	0.062875	0.219499	9.816850	-0.869235	-0.494024	0.019237	0.494318	-0.869139	0.015752	0.008937	0.023201	0.999691	
4693								2021	09	15	14	31	37.928	0.082588	0.220434	9.787958	-0.869231	-0.494032	0.019230	0.494325	-0.869134	0.015744	0.008935	0.023191	0.999691	
4694								2021	09	15	14	31	37.944	0.082026	0.210934	9.807546	-0.869233	-0.494029	0.019212	0.494322	-0.869136	0.015779	0.008903	0.023212	0.999691	
4695								2021	09	15	14	31	37.961	0.071728	0.210623	9.807347	-0.869229	-0.494037	0.019220	0.494330	-0.869131	0.015763	0.008917	0.023203	0.999691	
4696								2021	09	15	14	31	37.978	0.071692	0.210509	9.797587	-0.869238	-0.494020	0.019233	0.494313	-0.869142	0.015728	0.008947	0.023178	0.999691	
4697								2021	09	15	14	31	37.994	0.070704	0.220397	9.807290	-0.869232	-0.494030	0.019241	0.494323	-0.869136	0.015747	0.008943	0.023199	0.999691	
4698								2021	09	15	14	31	38.011	0.061436	0.210007	9.787626	-0.869234	-0.494027	0.019225	0.494320	-0.869138	0.015692	0.008957	0.023144	0.999692	
4699								2021	09	15	14	31	38.028	0.090245	0.211478	9.797996	-0.869222	-0.494047	0.019268	0.494341	-0.869126	0.015710	0.008985	0.023181	0.999691	
4700								2021	09	15	14	31	38.044	0.079835	0.211347	9.817318	-0.869231	-0.494030	0.019275	0.494324	-0.869136	0.015695	0.008999	0.023171	0.999691	
4701								2021	09	15	14	31	38.061	0.069288	0.230387	9.787705	-0.869227	-0.494037	0.019270	0.494331	-0.869132	0.015721	0.008981	0.023191	0.999691	
4702								2021	09	15	14	31	38.078	0.079232	0.211554	9.797793	-0.869238	-0.494019	0.019263	0.494313	-0.869142	0.015713	0.008980	0.023181	0.999691	
4703								2021	09	15	14	31	38.094	0.068620	0.220840	9.797532	-0.869249	-0.493999	0.019271	0.494293	-0.869154	0.015698	0.008995	0.023171	0.999691	
4704								2021	09	15	14	31	38.111	0.068775	0.211168	9.797593	-0.869250	-0.493996	0.019286	0.494290	-0.869155	0.015697	0.009008	0.023178	0.999691	
